PDF,Page,Chapter_Title,Label,Content_Preview
MSankirPhDDissertation.pdf,305,Chapter8Suggested Future Research.pdf,FUTURE_WORK,"286
 
 
CHAPTER 8 
 
Suggested Future Research 
 
The disulfonated polysulfone copolymers always res..."
DISSERTATION_FINAL_JDW.pdf,136,Chapter 8: Summary & Directions for Future Research,SUMMARY|FUTURE_WORK,"123
Chapter 8: SUMMARY & DIRECTIONS FOR FUTURE RESEARCH 
 
Summary 
 
Although some in Japan cling t..."
Amara_dissertation.pdf,161,Chapter 6. RECOMMENDATIONS,RECOMMENDATIONS,"Chapter 6. Recommendations 
147 
Amara Loulizi 
Chapter 6. RECOMMENDATIONS 
  
Based on the findings..."
dissertation_fong.pdf,130,Chapter 8 Future Research,FUTURE_WORK,"Chapter 8 Future Research 
N.H. Ben Fong 
Chapter 8 Future Research 
 
 
In studying classical contr..."
MokaremDissertation.pdf,118,CHAPTER 8: RECOMMENDATIONS,RECOMMENDATIONS,"107
CHAPTER 8: RECOMMENDATIONS 
 
1. 
The unrestrained shrinkage test method, ASTM C 157, may be use..."
SullivanDissertation.pdf,140,CHAPTER 5: SUMMARY AND DISCUSSION,DISCUSSION|SUMMARY,"CHAPTER 5: SUMMARY AND DISCUSSION 
 
With the No Child Left Behind Act’s (NCLB’s) increased emphasis..."
Onefilegood.pdf,131,Chapter VII: SUMMARY,SUMMARY,"Chapter VII: SUMMARY 
The purpose of this series of studies had two goals.   First, to identify 
mea..."
dissertation.pdf,147,Chapter 6 Future Research,FUTURE_WORK,"134
Chapter 6 
Future Research 
 
A non-homogeneous process provides a more realistic model for repa..."
Layman.Dissertation_Finalc.pdf,298,Chapter 13. Suggested Future Work,FUTURE_WORK,"Chapter 13. Suggested Future Work 
13.1 Determine the influence of molecular weight on gene transfec..."
Disser99.pdf,259,CHAPTER 9. RECOMMENDATIONS FOR FUTURE WORK,FUTURE_WORK,"CHAPTER 9. RECOMMENDATIONS FOR FUTURE WORK
Many inorganic-organic hybrid materials have been derived..."
Taheriandani_M_D_2016.pdf,152,Chapter 10 Summary and Recommendations,SUMMARY|RECOMMENDATIONS,"138 
 
 
Chapter 10 Summary and Recommendations 
10.1 Summary  
The applicability of non-contact, op..."
Han_Y_D_2016.pdf,95,CHAPTER 6: FUTURE WORK,FUTURE_WORK,"CHAPTER 6: FUTURE WORK 
In an effort to reduce the negative impact of buildings on energy use, healt..."
Bowden_ZE_D_2016.pdf,112,Chapter 5: Summary and Directions for Future Research,SUMMARY|FUTURE_WORK,Chapter 5: Summary and Directions for Future Research
Munger_ZW_D_2016.pdf,137,CHAPTER 5. DISSERTATION SUMMARY AND FUTURE RESEARCH,FUTURE_WORK|SUMMARY,"121
CHAPTER 5. DISSERTATION SUMMARY AND FUTURE RESEARCH 
Controlling Fe and Mn in surface water supp..."
