PDF,Page,Chapter_Title,Label
MSankirPhDDissertation.pdf,305,Chapter8Suggested Future Research.pdf,FUTURE_WORK
DISSERTATION_FINAL_JDW.pdf,136,Chapter 8: Summary & Directions for Future Research,SUMMARY|FUTURE_WORK
Amara_dissertation.pdf,161,Chapter 6. RECOMMENDATIONS,RECOMMENDATIONS
dissertation_fong.pdf,130,Chapter 8 Future Research,FUTURE_WORK
MokaremDissertation.pdf,118,CHAPTER 8: RECOMMENDATIONS,RECOMMENDATIONS
SullivanDissertation.pdf,140,CHAPTER 5: SUMMARY AND DISCUSSION,DISCUSSION|SUMMARY
Onefilegood.pdf,131,Chapter VII: SUMMARY,SUMMARY
dissertation.pdf,147,Chapter 6 Future Research,FUTURE_WORK
Layman.Dissertation_Finalc.pdf,298,Chapter 13. Suggested Future Work,FUTURE_WORK
Disser99.pdf,259,CHAPTER 9. RECOMMENDATIONS FOR FUTURE WORK,FUTURE_WORK
Taheriandani_M_D_2016.pdf,152,Chapter 10 Summary and Recommendations,SUMMARY|RECOMMENDATIONS
Han_Y_D_2016.pdf,95,CHAPTER 6: FUTURE WORK,FUTURE_WORK
Bowden_ZE_D_2016.pdf,112,Chapter 5: Summary and Directions for Future Research,SUMMARY|FUTURE_WORK
Munger_ZW_D_2016.pdf,137,CHAPTER 5. DISSERTATION SUMMARY AND FUTURE RESEARCH,FUTURE_WORK|SUMMARY
