PDF,Page,Chapter_Title,Label,FP_Rate,FP_Count
MSankirPhDDissertation.pdf,305,Chapter8Suggested Future Research.pdf,FUTURE_WORK,100.00%,8/8
DISSERTATION_FINAL_JDW.pdf,136,Chapter 8: Summary & Directions for Future Research,SUMMARY|FUTURE_WORK,100.00%,8/8
Amara_dissertation.pdf,161,Chapter 6. RECOMMENDATIONS,RECOMMENDATIONS,100.00%,8/8
dissertation_fong.pdf,130,Chapter 8 Future Research,FUTURE_WORK,100.00%,8/8
MokaremDissertation.pdf,118,CHAPTER 8: RECOMMENDATIONS,RECOMMENDATIONS,100.00%,8/8
SullivanDissertation.pdf,140,CHAPTER 5: SUMMARY AND DISCUSSION,DISCUSSION|SUMMARY,100.00%,8/8
Onefilegood.pdf,131,Chapter VII: SUMMARY,SUMMARY,100.00%,8/8
dissertation.pdf,147,Chapter 6 Future Research,FUTURE_WORK,100.00%,8/8
Layman.Dissertation_Finalc.pdf,298,Chapter 13. Suggested Future Work,FUTURE_WORK,100.00%,8/8
Disser99.pdf,259,CHAPTER 9. RECOMMENDATIONS FOR FUTURE WORK,FUTURE_WORK,100.00%,8/8
Taheriandani_M_D_2016.pdf,152,Chapter 10 Summary and Recommendations,SUMMARY|RECOMMENDATIONS,100.00%,8/8
Han_Y_D_2016.pdf,95,CHAPTER 6: FUTURE WORK,FUTURE_WORK,100.00%,8/8
Bowden_ZE_D_2016.pdf,112,Chapter 5: Summary and Directions for Future Research,SUMMARY|FUTURE_WORK,100.00%,8/8
Munger_ZW_D_2016.pdf,137,CHAPTER 5. DISSERTATION SUMMARY AND FUTURE RESEARCH,FUTURE_WORK|SUMMARY,100.00%,8/8
MatthewCashionDissertation.pdf,232,Chapter 10. Future Work,FUTURE_WORK,87.50%,7/8
ACH_thesis_final.pdf,131,Chapter 8: Summary and Future Work,FUTURE_WORK|SUMMARY,87.50%,7/8
tperry.pdf,133,Chapter 6: Discussion,DISCUSSION,87.50%,7/8
dissertation_wtang.pdf,128,CHAPTER 7 SUMMARY AND FURTURE RESEARCH DIRECTIONS,FUTURE_WORK|SUMMARY,87.50%,7/8
Kavanaugh_JW_D_2017.pdf,103,CHAPTER 6: LIMITATIONS & FUTURE DIRECTIONS,LIMITATIONS|FUTURE_WORK,87.50%,7/8
srlonline_dissertation.pdf,108,Chapter Five: Discussion,DISCUSSION,75.00%,6/8
SenseofPlaceandNewUrbanism.pdf,96,CHAPTER 5: DISCUSSION,DISCUSSION,75.00%,6/8
DanielsonDiss.pdf,94,Chapter 4: Discussion,DISCUSSION,75.00%,6/8
MathaiDissertation.pdf,85,Chapter Five: Discussion,DISCUSSION,75.00%,6/8
Zaldivar_dissertation.pdf,108,Chapter 4: Discussion,DISCUSSION,75.00%,6/8
farris_etd.pdf,147,CHAPTER 5: DISCUSSION,DISCUSSION,75.00%,6/8
JMM_ETD.pdf,43,"CHAPTER 5 DISCUSSION, IMPLICATIONS AND LIMITATIONS",DISCUSSION|IMPLICATIONS|LIMITATIONS,75.00%,6/8
Wu_T_D_2012.pdf,216,Chapter 9 Suggested Future Work,FUTURE_WORK,75.00%,6/8
White_NA_D_2014.pdf,237,Chapter 8: Research Summary and Future Work,FUTURE_WORK|SUMMARY,75.00%,6/8
Coleman_DS_D_2017.pdf,77,Chapter 5: Discussion,DISCUSSION,75.00%,6/8
